timestamp,strategy,mode,pair,timerange,wallet,n_trades,win_rate_pct,roi_pct,max_dd_pct,sharpe,sortino,profit_factor,calmar,total_pnl,run_dir,notes
20260602_225517,BtcDynamicRebalanceStrategy,ADV_BEAR2022,BTC/USDT,20220101-20230101,10000.0,1,0.0,-54.923,54.923,-100.0,-100.0,0.0,-5.234,-5492.288179889998,20260602_225517__BtcDynamicRebalanceStrategy__ADV_BEAR2022__BTC_USDT,Idea C backfill — ETH_DynRebal
20260602_225522,BtcDynamicRebalanceStrategy,ADV_SIDE2025,BTC/USDT,20250101-20260101,10000.0,1,0.0,-3.084,3.084,-100.0,-100.0,0.0,-5.234,-308.40252528000013,20260602_225522__BtcDynamicRebalanceStrategy__ADV_SIDE2025__BTC_USDT,Idea C backfill — ETH_DynRebal
20260602_225526,BtcDynamicRebalanceStrategy,ADV_BEAR26Q12,BTC/USDT,20260101-20260601,10000.0,1,0.0,-24.546,24.546,-100.0,-100.0,0.0,-12.737,-2454.56967779,20260602_225526__BtcDynamicRebalanceStrategy__ADV_BEAR26Q12__BTC_USDT,Idea C backfill — ETH_DynRebal
20260602_225612,BtcDynamicRebalanceStrategy,2021,BTC/USDT,20210101-20220101,10000.0,1,100.0,636.942,0.0,-100.0,-100.0,0.0,-100.0,63694.210681069984,20260602_225612__BtcDynamicRebalanceStrategy__2021__BTC_USDT,Idea C backfill — SOL_DynRebal
20260602_225619,BtcDynamicRebalanceStrategy,2022,BTC/USDT,20220101-20230101,10000.0,1,0.0,-87.002,87.002,-100.0,-100.0,0.0,-5.234,-8700.1556702,20260602_225619__BtcDynamicRebalanceStrategy__2022__BTC_USDT,Idea C backfill — SOL_DynRebal
20260602_225626,BtcDynamicRebalanceStrategy,2023,BTC/USDT,20230101-20240101,10000.0,1,100.0,509.202,0.0,-100.0,-100.0,0.0,-100.0,50920.19708032,20260602_225626__BtcDynamicRebalanceStrategy__2023__BTC_USDT,Idea C backfill — SOL_DynRebal
20260602_225631,BtcDynamicRebalanceStrategy,2024,BTC/USDT,20240101-20250101,10000.0,1,100.0,57.633,0.0,-100.0,-100.0,0.0,-100.0,5763.31590403,20260602_225631__BtcDynamicRebalanceStrategy__2024__BTC_USDT,Idea C backfill — SOL_DynRebal
20260602_225636,BtcDynamicRebalanceStrategy,2025,BTC/USDT,20250101-20260101,10000.0,1,0.0,-21.828,21.828,-100.0,-100.0,0.0,-5.234,-2182.7849586200005,20260602_225636__BtcDynamicRebalanceStrategy__2025__BTC_USDT,Idea C backfill — SOL_DynRebal
20260602_225640,BtcDynamicRebalanceStrategy,2026Q12,BTC/USDT,20260101-20260601,10000.0,1,0.0,-26.342,26.342,-100.0,-100.0,0.0,-12.737,-2634.16165426,20260602_225640__BtcDynamicRebalanceStrategy__2026Q12__BTC_USDT,Idea C backfill — SOL_DynRebal
20260602_225647,BtcDynamicRebalanceStrategy,ADV_BEAR2022,BTC/USDT,20220101-20230101,10000.0,1,0.0,-87.002,87.002,-100.0,-100.0,0.0,-5.234,-8700.1556702,20260602_225647__BtcDynamicRebalanceStrategy__ADV_BEAR2022__BTC_USDT,Idea C backfill — SOL_DynRebal
20260602_225651,BtcDynamicRebalanceStrategy,ADV_SIDE2025,BTC/USDT,20250101-20260101,10000.0,1,0.0,-21.828,21.828,-100.0,-100.0,0.0,-5.234,-2182.7849586200005,20260602_225651__BtcDynamicRebalanceStrategy__ADV_SIDE2025__BTC_USDT,Idea C backfill — SOL_DynRebal
20260602_225656,BtcDynamicRebalanceStrategy,ADV_BEAR26Q12,BTC/USDT,20260101-20260601,10000.0,1,0.0,-26.342,26.342,-100.0,-100.0,0.0,-12.737,-2634.16165426,20260602_225656__BtcDynamicRebalanceStrategy__ADV_BEAR26Q12__BTC_USDT,Idea C backfill — SOL_DynRebal
20260602_230301,BtcRegimeShieldStrategy,2021,BTC/USDT,20210101-20220101,10000.0,2,100.0,249.611,0.0,0.465,-100.0,0.0,-100.0,24961.07251841,20260602_230301__BtcRegimeShieldStrategy__2021__BTC_USDT,Idea C backfill — ETH_Shield
20260602_230305,BtcRegimeShieldStrategy,2022,BTC/USDT,20220101-20230101,10000.0,1,0.0,-11.746,11.746,-100.0,-100.0,0.0,-5.234,-1174.63060403,20260602_230305__BtcRegimeShieldStrategy__2022__BTC_USDT,Idea C backfill — ETH_Shield
20260602_230309,BtcRegimeShieldStrategy,2023,BTC/USDT,20230101-20240101,10000.0,2,100.0,38.892,0.0,0.298,-100.0,0.0,-100.0,3889.24792106,20260602_230309__BtcRegimeShieldStrategy__2023__BTC_USDT,Idea C backfill — ETH_Shield
20260602_230312,BtcRegimeShieldStrategy,2024,BTC/USDT,20240101-20250101,10000.0,2,50.0,24.352,1.022,0.094,-100.0,19.975,124.437,2435.15221486,20260602_230312__BtcRegimeShieldStrategy__2024__BTC_USDT,Idea C backfill — ETH_Shield
20260602_230316,BtcRegimeShieldStrategy,2025,BTC/USDT,20250101-20260101,10000.0,1,100.0,31.435,0.0,-100.0,-100.0,0.0,-100.0,3143.4564124,20260602_230316__BtcRegimeShieldStrategy__2025__BTC_USDT,Idea C backfill — ETH_Shield
20260602_230320,BtcRegimeShieldStrategy,2026Q12,BTC/USDT,20260101-20260601,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260602_230320__BtcRegimeShieldStrategy__2026Q12__BTC_USDT,Idea C backfill — ETH_Shield
20260602_230323,BtcRegimeShieldStrategy,ADV_BEAR2022,BTC/USDT,20220101-20230101,10000.0,1,0.0,-11.746,11.746,-100.0,-100.0,0.0,-5.234,-1174.63060403,20260602_230323__BtcRegimeShieldStrategy__ADV_BEAR2022__BTC_USDT,Idea C backfill — ETH_Shield
20260602_230327,BtcRegimeShieldStrategy,ADV_SIDE2025,BTC/USDT,20250101-20260101,10000.0,1,100.0,31.435,0.0,-100.0,-100.0,0.0,-100.0,3143.4564124,20260602_230327__BtcRegimeShieldStrategy__ADV_SIDE2025__BTC_USDT,Idea C backfill — ETH_Shield
20260602_230330,BtcRegimeShieldStrategy,ADV_BEAR26Q12,BTC/USDT,20260101-20260601,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260602_230330__BtcRegimeShieldStrategy__ADV_BEAR26Q12__BTC_USDT,Idea C backfill — ETH_Shield
20260602_230401,BtcRegimeShieldStrategy,2021,BTC/USDT,20210101-20220101,10000.0,1,100.0,902.624,0.0,-100.0,-100.0,0.0,-100.0,90262.37255167,20260602_230401__BtcRegimeShieldStrategy__2021__BTC_USDT,Idea C backfill — SOL_Shield
20260602_230405,BtcRegimeShieldStrategy,2022,BTC/USDT,20220101-20230101,10000.0,1,0.0,-31.666,31.666,-100.0,-100.0,0.0,-5.234,-3166.62876712,20260602_230405__BtcRegimeShieldStrategy__2022__BTC_USDT,Idea C backfill — SOL_Shield
20260602_230409,BtcRegimeShieldStrategy,2023,BTC/USDT,20230101-20240101,10000.0,3,66.67,231.456,13.096,0.103,-100.0,18.674,92.512,23145.6178896,20260602_230409__BtcRegimeShieldStrategy__2023__BTC_USDT,Idea C backfill — SOL_Shield
20260602_230413,BtcRegimeShieldStrategy,2024,BTC/USDT,20240101-20250101,10000.0,2,100.0,43.74,0.0,0.95,-100.0,0.0,-100.0,4373.993065879999,20260602_230413__BtcRegimeShieldStrategy__2024__BTC_USDT,Idea C backfill — SOL_Shield
20260602_230417,BtcRegimeShieldStrategy,2025,BTC/USDT,20250101-20260101,10000.0,3,0.0,-43.109,43.109,-0.223,-0.223,0.0,-5.234,-4310.87702951,20260602_230417__BtcRegimeShieldStrategy__2025__BTC_USDT,Idea C backfill — SOL_Shield
20260602_230420,BtcRegimeShieldStrategy,2026Q12,BTC/USDT,20260101-20260601,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260602_230420__BtcRegimeShieldStrategy__2026Q12__BTC_USDT,Idea C backfill — SOL_Shield
20260602_230424,BtcRegimeShieldStrategy,ADV_BEAR2022,BTC/USDT,20220101-20230101,10000.0,1,0.0,-31.666,31.666,-100.0,-100.0,0.0,-5.234,-3166.62876712,20260602_230424__BtcRegimeShieldStrategy__ADV_BEAR2022__BTC_USDT,Idea C backfill — SOL_Shield
20260602_230428,BtcRegimeShieldStrategy,ADV_SIDE2025,BTC/USDT,20250101-20260101,10000.0,3,0.0,-43.109,43.109,-0.223,-0.223,0.0,-5.234,-4310.87702951,20260602_230428__BtcRegimeShieldStrategy__ADV_SIDE2025__BTC_USDT,Idea C backfill — SOL_Shield
20260602_230432,BtcRegimeShieldStrategy,ADV_BEAR26Q12,BTC/USDT,20260101-20260601,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260602_230432__BtcRegimeShieldStrategy__ADV_BEAR26Q12__BTC_USDT,Idea C backfill — SOL_Shield
20260602_231947,BtcAiShieldV2Strategy,SOL_AIShV2_5Y,BTC/USDT,20210101-20260601,10000.0,19,63.16,1367.193,37.045,0.044,0.071,1.968,37.13,136719.31602890996,20260602_231947__BtcAiShieldV2Strategy__SOL_AIShV2_5Y__BTC_USDT,SOL AI Shield V2 — full 5y
20260602_232046,BtcTripleRegimeStrategy,SOL_Triple_2021,BTC/USDT,20210101-20220101,10000.0,5,40.0,49.466,15.574,0.117,0.605,2.586,21.07,4946.641081780001,20260602_232046__BtcTripleRegimeStrategy__SOL_Triple_2021__BTC_USDT,SOL Triple per-year
20260602_232050,BtcTripleRegimeStrategy,SOL_Triple_2022,BTC/USDT,20220101-20230101,10000.0,1,0.0,-12.694,12.694,-100.0,-100.0,0.0,-5.234,-1269.4325472,20260602_232050__BtcTripleRegimeStrategy__SOL_Triple_2022__BTC_USDT,SOL Triple per-year
20260602_232054,BtcTripleRegimeStrategy,SOL_Triple_2023,BTC/USDT,20230101-20240101,10000.0,3,33.33,2.251,11.313,0.013,0.079,1.199,1.042,225.12565772,20260602_232054__BtcTripleRegimeStrategy__SOL_Triple_2023__BTC_USDT,SOL Triple per-year
