source,file,strategy,coin,pair,n_trades,roi_pct,win_rate_pct,max_dd_pct,sharpe,sortino,profit_factor,timerange,score
freqtrade_zip,backtest-result-2026-06-03_00-49-44.zip,BtcRegimeShieldStrategy,BTC,BTC/USDT,1,9.01,100.0,0.0,-100.0,-100.0,0.0,2025-01-01 00:00:00~2026-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_00-49-47.zip,BtcRegimeShieldStrategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01 00:00:00~2026-05-29 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_00-49-50.zip,BtcAiShieldStrategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 00:00:00~2023-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_00-49-53.zip,BtcAiShieldStrategy,BTC,BTC/USDT,2,12.27,50.0,0.04017748152893264,0.059280830466190905,-100.0,3.61126290448147,2025-01-01 00:00:00~2026-01-01 00:00:00,12.782453341604043
freqtrade_zip,backtest-result-2026-06-03_00-49-56.zip,BtcAiShieldStrategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01 00:00:00~2026-05-29 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_00-49-59.zip,BtcTripleRegimeStrategy,BTC,BTC/USDT,3,-4.89,33.33333333333333,0.04888420425299991,-0.13331581800198136,-0.43178763057039216,0.16942228525410283,2022-01-01 00:00:00~2023-01-01 00:00:00,-6.320926588525813
freqtrade_zip,backtest-result-2026-06-03_00-50-02.zip,BtcTripleRegimeStrategy,BTC,BTC/USDT,5,-3.47,20.0,0.09516467290716461,-0.039490109312122455,-0.0779196041568618,0.6838354527544942,2025-01-01 00:00:00~2026-01-01 00:00:00,-4.0552304389355545
freqtrade_zip,backtest-result-2026-06-03_00-50-06.zip,BtcTripleRegimeStrategy,BTC,BTC/USDT,2,-6.26,0.0,0.06262539726600007,-1.1260970598560516,-1.1260970598560516,0.0,2026-01-01 00:00:00~2026-05-29 00:00:00,-17.646221393092517
freqtrade_zip,backtest-result-2026-06-03_00-50-09.zip,BtcTripleRegimeStrategy,BTC,BTC/USDT,4,-7.5,25.0,0.07501272726700008,-0.2088587566978323,-0.5187971229351771,0.13557289225868416,2022-01-01 00:00:00~2023-01-01 00:00:00,-9.738613021512323
freqtrade_zip,backtest-result-2026-06-03_00-50-13.zip,BtcTripleRegimeStrategy,BTC,BTC/USDT,7,-6.06,14.285714285714285,0.11598019842902418,-0.0813659289377085,-0.1471910694726951,0.5476931852968696,2025-01-01 00:00:00~2026-01-01 00:00:00,-7.1056196862351335
