pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday,strategy,mode,pair_tag,run_folder,coin,open_year,open_month,open_dow,close_dow,duration_days,is_win,dur_bucket
BNB/USDT,47438.5025996,47438.5025996,94.118,2021-04-20 00:00:00+00:00,2021-05-20 00:00:00+00:00,504.0322,334.8,0.001,0.001,43200,-0.337083882872831,-16006.7454086,calendar_shield:exit,5.0404,-0.99,5.0404,-0.99,280.0,691.77,False,calendar_shield,1.0,False,1618876800000,1621468800000,0.0,3,BtcCalendarShieldStrategy,MY_BNB_Calendar_2021,BTC/USDT,20260605_001209__BtcCalendarShieldStrategy__MY_BNB_Calendar_2021__BTC_USDT,BTC,2021,4,Tuesday,Thursday,30,False,8-30d
BNB/USDT,31632.3273,31632.3273,77.405,2021-08-15 00:00:00+00:00,2021-09-08 00:00:00+00:00,408.66,418.7,0.001,0.001,34560,0.0225210115094126,713.1043992,calendar_shield:exit,4.09,-0.99,4.09,-0.99,369.0,518.94,False,calendar_shield,1.0,False,1628985600000,1631059200000,0.0,2,BtcCalendarShieldStrategy,MY_BNB_Calendar_2021,BTC/USDT,20260605_001209__BtcCalendarShieldStrategy__MY_BNB_Calendar_2021__BTC_USDT,BTC,2021,8,Sunday,Wednesday,24,True,8-30d
BNB/USDT,32264.7768,32264.7768,77.709,2021-09-09 00:00:00+00:00,2021-09-28 00:00:00+00:00,415.2,335.5,0.001,0.001,27360,-0.1935701581655338,-6251.7434463,calendar_shield:exit,4.2,-0.99,4.2,-0.99,320.0,439.4,False,calendar_shield,1.0,False,1631145600000,1632787200000,0.0,1,BtcCalendarShieldStrategy,MY_BNB_Calendar_2021,BTC/USDT,20260605_001209__BtcCalendarShieldStrategy__MY_BNB_Calendar_2021__BTC_USDT,BTC,2021,9,Thursday,Tuesday,19,False,8-30d
BNB/USDT,15740.6824,20111.9592,24.399,2021-11-09 00:00:00+00:00,2021-12-05 00:00:00+00:00,645.1,568.5,0.001,0.001,37440,-0.0995965082600908,-2005.0839915,calendar_shield:exit,6.6,-0.99,6.6,-0.99,489.2,662.9,False,calendar_shield,1.0,False,1636416000000,1638662400000,0.0,6,BtcCalendarShieldStrategy,MY_BNB_Calendar_2021,BTC/USDT,20260605_001209__BtcCalendarShieldStrategy__MY_BNB_Calendar_2021__BTC_USDT,BTC,2021,11,Tuesday,Sunday,26,False,8-30d
BNB/USDT,3061.8684,5110.4988,9.398,2022-11-01 00:00:00+00:00,2022-11-09 00:00:00+00:00,325.8,327.4,0.001,0.001,11520,-0.0015174455175497,-7.762658399999999,calendar_shield:exit,3.3,-0.99,3.3,-0.99,260.2,398.3,False,calendar_shield,1.0,False,1667260800000,1667952000000,0.0,2,BtcCalendarShieldStrategy,MY_BNB_Calendar_2022,BTC/USDT,20260605_001212__BtcCalendarShieldStrategy__MY_BNB_Calendar_2022__BTC_USDT,BTC,2022,11,Tuesday,Wednesday,8,False,8-30d
BNB/USDT,3698.4755,3698.4755,12.339,2022-11-11 00:00:00+00:00,2022-12-06 00:00:00+00:00,299.7,288.5,0.001,0.001,36000,-0.0394179954712395,-145.932277,calendar_shield:exit,3.1,-0.99,3.1,-0.99,250.0,317.8,False,calendar_shield,1.0,False,1668124800000,1670284800000,0.0,1,BtcCalendarShieldStrategy,MY_BNB_Calendar_2022,BTC/USDT,20260605_001212__BtcCalendarShieldStrategy__MY_BNB_Calendar_2022__BTC_USDT,BTC,2022,11,Friday,Tuesday,25,False,8-30d
BNB/USDT,4732.5634,4732.5634,15.632,2023-01-15 00:00:00+00:00,2023-03-14 00:00:00+00:00,302.7,307.9,0.001,0.001,83520,0.0149840213379985,70.9837438,calendar_shield:exit,3.1,-0.99,3.1,-0.99,265.0,337.8,False,calendar_shield,1.0,False,1673740800000,1678752000000,0.0,1,BtcCalendarShieldStrategy,MY_BNB_Calendar_2023,BTC/USDT,20260605_001217__BtcCalendarShieldStrategy__MY_BNB_Calendar_2023__BTC_USDT,BTC,2023,1,Sunday,Tuesday,58,True,31-60d
BNB/USDT,5127.6576,5127.6576,15.641,2023-03-19 00:00:00+00:00,2023-06-08 00:00:00+00:00,327.8,259.3,0.001,0.001,116640,-0.2106321645346833,-1081.1296689,calendar_shield:exit,3.4,-0.99,3.4,-0.99,253.4,350.0,False,calendar_shield,1.0,False,1679184000000,1686182400000,0.0,3,BtcCalendarShieldStrategy,MY_BNB_Calendar_2023,BTC/USDT,20260605_001217__BtcCalendarShieldStrategy__MY_BNB_Calendar_2023__BTC_USDT,BTC,2023,3,Sunday,Thursday,81,False,61-120d
BNB/USDT,5171.9234,5171.9234,21.007,2023-11-08 00:00:00+00:00,2023-11-10 00:00:00+00:00,246.2,251.7,0.001,0.001,2880,0.0202969248460718,105.0791147,calendar_shield:exit,2.5,-0.99,2.5,-0.99,240.0,258.0,False,calendar_shield,1.0,False,1699401600000,1699574400000,0.0,4,BtcCalendarShieldStrategy,MY_BNB_Calendar_2023,BTC/USDT,20260605_001217__BtcCalendarShieldStrategy__MY_BNB_Calendar_2023__BTC_USDT,BTC,2023,11,Wednesday,Friday,2,True,0-7d
BNB/USDT,5759.0396,5759.0396,23.063,2023-11-11 00:00:00+00:00,2024-01-01 00:00:00+00:00,249.7,311.9,0.001,0.001,73440,0.2465580846026954,1421.3577107,force_exit,2.6,-0.99,2.6,-0.99,222.5,338.3,False,calendar_shield,1.0,False,1699660800000,1704067200000,0.0,0,BtcCalendarShieldStrategy,MY_BNB_Calendar_2023,BTC/USDT,20260605_001217__BtcCalendarShieldStrategy__MY_BNB_Calendar_2023__BTC_USDT,BTC,2023,11,Saturday,Monday,51,True,31-60d
