pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday,strategy,mode,pair_tag,run_folder
BTC/USDT,9506.9193,9506.9193,0.79823,2020-10-21 00:00:00+00:00,2020-10-22 00:00:00+00:00,11910.0,12780.75,0.001,0.001,1440,0.070966753649636,675.34987513,mv2:exit,119.11,-0.99,119.11,-0.99,11886.95,13217.68,False,mv2:enter,1.0,False,1603238400000,1603324800000,0.0,3,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,9703.2592336,12946.5067408,0.72964,2020-10-23 00:00:00+00:00,2020-11-06 00:00:00+00:00,13298.69,15590.02,0.001,0.001,20160,0.1394073007117665,1806.64239594,mv2:exit,129.69,-0.99,132.99,-0.99,12720.08,15960.0,False,mv2:enter,1.0,False,1603411200000,1604620800000,0.0,4,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,11922.1452812,11922.1452812,0.76821,2020-11-07 00:00:00+00:00,2021-01-12 00:00:00+00:00,15519.38,35410.37,0.001,0.001,95040,1.2771278865963267,15241.33031088,mv2:exit,155.8,-0.99,155.8,-0.99,14344.22,41950.0,False,mv2:enter,1.0,False,1604707200000,1610409600000,0.0,1,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,24599.829892,24599.829892,0.72248,2021-01-13 00:00:00+00:00,2021-01-22 00:00:00+00:00,34049.15,30851.99,0.001,0.001,12960,-0.0957087721034507,-2356.77393243,mv2:exit,340.5,-0.99,340.5,-0.99,28850.0,40100.0,False,mv2:enter,1.0,False,1610496000000,1611273600000,0.0,4,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,22656.42,22656.42,0.6876,2021-01-23 00:00:00+00:00,2021-01-29 00:00:00+00:00,32950.0,33368.18,0.001,0.001,8640,0.010667991189299,241.94018743,mv2:exit,329.51,-0.99,329.51,-0.99,29241.72,38531.9,False,mv2:enter,1.0,False,1611360000000,1611878400000,0.0,4,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,22657.3638992,22657.3638992,0.66128,2021-01-31 00:00:00+00:00,2021-02-09 00:00:00+00:00,34262.89,46374.86,0.001,0.001,12960,0.3507968223656246,7956.07939028,mv2:exit,342.63,-0.99,342.63,-0.99,32171.67,48142.19,False,mv2:enter,1.0,False,1612051200000,1612828800000,0.0,1,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,29650.9679892,29650.9679892,0.66174,2021-02-11 00:00:00+00:00,2021-02-24 00:00:00+00:00,44807.58,48891.0,0.001,0.001,18720,0.0889522639766413,2640.15825247,mv2:exit,448.08,-0.99,448.08,-0.99,43994.02,58352.8,False,mv2:enter,1.0,False,1613001600000,1614124800000,0.0,2,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,31929.3839775,31929.3839775,0.64275,2021-02-25 00:00:00+00:00,2021-04-19 00:00:00+00:00,49676.21,56150.01,0.001,0.001,76320,0.1280615443054117,4093.0151471,mv2:exit,496.77,-0.99,496.77,-0.99,43000.0,64854.0,False,mv2:enter,1.0,False,1614211200000,1618790400000,0.0,0,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,34858.9060843,34858.9060843,0.87107,2021-07-30 00:00:00+00:00,2021-09-08 00:00:00+00:00,40018.49,46868.57,0.001,0.001,57600,0.1688328695935634,5891.21447425,mv2:exit,400.19,-0.99,400.19,-0.99,37332.7,52920.0,False,mv2:enter,1.0,False,1627603200000,1631059200000,0.0,2,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,9673.39211978,58145.1045004,0.18448,2021-09-09 00:00:00+00:00,2021-12-04 00:00:00+00:00,52435.99,53601.05,0.001,0.001,123840,0.1630789526324119,9491.72498537,mv2:exit,460.49,-0.99,524.36,-0.99,39600.0,69000.0,False,mv2:enter,1.0,False,1631145600000,1638576000000,0.0,5,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,20820.02251954,48756.9757722,0.90773,2023-01-22 00:00:00+00:00,2023-03-14 00:00:00+00:00,22936.36,24112.27,0.001,0.001,73440,-0.0004951370879889,-24.16552839000019,mv2:exit,227.84,-0.99,229.98,-0.99,19549.09,26386.87,False,mv2:enter,1.0,False,1674345600000,1678752000000,0.0,1,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
